block_number|block_hash                                                      |parent_hash                                                     |merkle_root                                                     |version   |timestamp |bits     |nonce     |confirmations|difficulty          |
------------+----------------------------------------------------------------+----------------------------------------------------------------+----------------------------------------------------------------+----------+----------+---------+----------+-------------+--------------------+
      916271|000000000000000000010150805caf9693eea9aed7bea254d1513f3bc7436ea7|00000000000000000001945c605e979023ca1965b99f530828670071f0419017|a98755b1530e8b77667cbb6a82d4f76c70207e628fb40ee0c90fd7c528458cd8| 577658880|1758769994|386005560|  29284106|             |142342602928674.9375|
      916270|00000000000000000001945c605e979023ca1965b99f530828670071f0419017|0000000000000000000115e10afbd031008407512459ad6089b0e08e5f3532f3|d4383fbaeb175b478750b23fa6774e4b3883fb06ed6a1434ff49ff015152b249| 572817408|1758767856|386005560|2782387441|             |142342602928674.9375|
      916269|0000000000000000000115e10afbd031008407512459ad6089b0e08e5f3532f3|0000000000000000000157456bf1f0d82728a8b0a33cc94808cb7aaaec940b31|bcda606c437817c4bea36c883d77db00eaccda8d78e0141f2ae93badd902fe53| 606486528|1758764958|386005560|1272629515|             |142342602928674.9375|
      916268|0000000000000000000157456bf1f0d82728a8b0a33cc94808cb7aaaec940b31|000000000000000000008387c2f686b79a898b8bb7d1da61bc4fa8187b2e7b82|559eecc20f6f25a646a0db1e037a7536c810a51236231df9a4f4235d86f1320a| 537165824|1758764429|386005560|2190091160|             |142342602928674.9375|
      916267|000000000000000000008387c2f686b79a898b8bb7d1da61bc4fa8187b2e7b82|00000000000000000001a925d08f78c9614c38fb21e948f3f44f708c360baf69|52cd6fefb9fc4090d30b8fd27d0c12e243f5677955de82265bb0e4291892b16c| 538886144|1758763879|386005560| 590876737|             |142342602928674.9375|
      916266|00000000000000000001a925d08f78c9614c38fb21e948f3f44f708c360baf69|00000000000000000001d97c442118c37ff963d48330e0ebbb35452d1c193f87|ecd6d0a1072fd7c2dcfba88ed74b2e0bd3b1f19180d116478b26a116ec904c86| 713048064|1758763630|386005560|3398400876|             |142342602928674.9375|
      916265|00000000000000000001d97c442118c37ff963d48330e0ebbb35452d1c193f87|00000000000000000001c3d6a4597db3baaad8d15195d9bc98110b34a5f78d51|86d71434a4288411e9054e59297326540559e1de4dbfe38777259b825a4cdfda| 624156672|1758763149|386005560|1761453758|             |142342602928674.9375|
      916264|00000000000000000001c3d6a4597db3baaad8d15195d9bc98110b34a5f78d51|000000000000000000000220e41533631524abaf527f36e569411576a3ba40d7|951839f3fb400d9e4fff624dc21006baca5737371a6334e70e7ff676ffd583c0| 640483328|1758761420|386005560|3816669902|             |142342602928674.9375|
      916263|000000000000000000000220e41533631524abaf527f36e569411576a3ba40d7|000000000000000000013faefd26d9181098e3994d16d10df4fcc10fbd140d11|2d49ac87ebceb8438879f255fd8da6eab9d86ca05830301c263927a1355fe559| 573726720|1758761204|386005560|2835920395|             |142342602928674.9375|
      916262|000000000000000000013faefd26d9181098e3994d16d10df4fcc10fbd140d11|000000000000000000018d3869ec23b1057c08b6ad4e6e05938f57cf9586ca96|df89423b9c2f292bbfd271ff70feddf25d1ce5681eb567b6e6876ad3ee1487b5| 540467200|1758761083|386005560|1846396616|             |142342602928674.9375|
      916261|000000000000000000018d3869ec23b1057c08b6ad4e6e05938f57cf9586ca96|000000000000000000014e691e78e52c3246baa5fdc6be31fb4271527a91b5dd|598dc0903c1689eb1a0a904a44aa36a3cc80bb34a3f1b7106d2d28391f53966e| 567541760|1758761039|386005560|4196039536|             |142342602928674.9375|
      916260|000000000000000000014e691e78e52c3246baa5fdc6be31fb4271527a91b5dd|0000000000000000000055edb12f81d4b81cd0b977435bc96e6e67b3c161a9b2|9665a4a04065da4b05cf09988f734c27d38c92341a96b60603e5e29812a05845| 600694784|1758760750|386005560|1092224552|             |142342602928674.9375|
      916259|0000000000000000000055edb12f81d4b81cd0b977435bc96e6e67b3c161a9b2|000000000000000000015fa3ae90ff3795c52c5faba4393fbb6792a52c402b43|ed29fe71594c5c3e2a11ddc961fd00990c6cef43a0f88899eec0628c00e545cc| 579207168|1758760171|386005560|4123597787|             |142342602928674.9375|
      916258|000000000000000000015fa3ae90ff3795c52c5faba4393fbb6792a52c402b43|000000000000000000012acb41702afb2574d7769d19bbb38ba6b339b75b3c20|4d6964ea5d9cd99b208e4f207b14c6d97fea78505b2745e68f68c7cc38ae75fb| 536928256|1758760152|386005560| 163817303|             |142342602928674.9375|
      916257|000000000000000000012acb41702afb2574d7769d19bbb38ba6b339b75b3c20|000000000000000000008f363a8b4ed3f84036a5ff4b79117739a3864c0a3ccf|3d59ab4ca5e551bac6d3b0d545d2c2ad3b22f1a4c06a925f036cf6802fc99c67| 537657344|1758760074|386005560|3213053213|             |142342602928674.9375|
      916256|000000000000000000008f363a8b4ed3f84036a5ff4b79117739a3864c0a3ccf|00000000000000000000d52ba0c942e022008e0b00dbc823911c21fdf2223f91|6013f0b507a80e62eba12b7753458328cd83a03fdc6b243421b7706156c463f6| 537305088|1758759359|386005560| 280355875|             |142342602928674.9375|
      916255|00000000000000000000d52ba0c942e022008e0b00dbc823911c21fdf2223f91|00000000000000000000cf27eff0c7cba92fb5e389edcc8f8106434eb72fa2cb|1bc60ad3eb26703fa92fd7ef030398a0eb580b0279efba110211253c66d6cd62| 549961728|1758758997|386005560|2428604106|             |142342602928674.9375|
      916254|00000000000000000000cf27eff0c7cba92fb5e389edcc8f8106434eb72fa2cb|000000000000000000013cc36471d900d5f4542f51b11c933ef6796e5ce68e41|250cd390cf6e6604de047e1a50f56003335c924baa92323e01dec72cd158e22e| 599130112|1758758249|386005560|2071782555|             |142342602928674.9375|
      916253|000000000000000000013cc36471d900d5f4542f51b11c933ef6796e5ce68e41|000000000000000000016c5080ff43b4c967499978e55ac348a486a80fed0a03|9f863f96d4163018bf1d1de3bedd7021bc33b81b4f9634e91fdaff8bf2254afe| 623132672|1758757991|386005560|2555874239|             |142342602928674.9375|
      916252|000000000000000000016c5080ff43b4c967499978e55ac348a486a80fed0a03|0000000000000000000191adbd0bde5e8806f762964cdc3b0b5312d47099433c|0fdc6cd122a23ac4e85814396dcced1887ad7afcab21bfbb9dd36c840b2f6a58| 849682432|1758757946|386005560| 138216499|             |142342602928674.9375|
      916251|0000000000000000000191adbd0bde5e8806f762964cdc3b0b5312d47099433c|000000000000000000019e5591416f95de437b19dedf4fe737f231652b771408|433218d68539fb05b8f4704b52ea99923d96cedf409d660e03a7cfa4c16e94d6| 536961024|1758757912|386005560|3700658446|             |142342602928674.9375|
      916250|000000000000000000019e5591416f95de437b19dedf4fe737f231652b771408|000000000000000000003543a81a058fa9932617547cab190bf9184f944fba93|399840ed827af99921031ffb478af8eb4ffbcf91373dc5a443bc21c2ff08154e|1073733632|1758757882|386005560| 840510947|             |142342602928674.9375|
      916249|000000000000000000003543a81a058fa9932617547cab190bf9184f944fba93|0000000000000000000108fef4b85043c8d744662af31d471a2101c83586977b|65e833bd186d20d9ba5a67c020b31e32b8c91899fab845e87371869bff01c111| 536928256|1758757034|386005560| 181815951|             |142342602928674.9375|
      916248|0000000000000000000108fef4b85043c8d744662af31d471a2101c83586977b|00000000000000000000ed1dec6c378cf4d4b34ac163acb285c85039bc94058a|6271e188a5e038299edb98e8aeead535f931c5f98dcd1206568d2763a043af0a| 547356672|1758757007|386005560|1855466867|             |142342602928674.9375|
      916247|00000000000000000000ed1dec6c378cf4d4b34ac163acb285c85039bc94058a|00000000000000000000b9103c04cba43974cfd8ea851f756df0ac7774612a97|012c20ce5f2644ae92eb088b4e0c3d3709853335765a16e832ca2dccda0437fe| 568573952|1758756884|386005560|3168903715|             |142342602928674.9375|
      916246|00000000000000000000b9103c04cba43974cfd8ea851f756df0ac7774612a97|00000000000000000001a931f10e1ccef1655b0f0f69dd0d007f8bc08443ddfe|8c61f2c64295eb161b2ade520f885c8bd935a8e46f5427b38b110a1f1382d457| 537288704|1758756814|386005560|3276627544|             |142342602928674.9375|
      916245|00000000000000000001a931f10e1ccef1655b0f0f69dd0d007f8bc08443ddfe|00000000000000000001ce279949b5890526d67e667137db4d252fefd27e1c9a|e117eaec5334d1c11808dfa2d9872955642a5b2d96f40363ae0fba43b455ce1a| 633552896|1758756196|386005560|1236357733|             |142342602928674.9375|
      916244|00000000000000000001ce279949b5890526d67e667137db4d252fefd27e1c9a|00000000000000000001b05e0de035b866be9874e46091f4788b87fdd372d179|9c50054653f5e59789b98f5c3afcc17efed32c1bec26b25274d92db7071921b5| 831995904|1758753767|386005560| 162520286|             |142342602928674.9375|
      916243|00000000000000000001b05e0de035b866be9874e46091f4788b87fdd372d179|00000000000000000000f71ee6b0bed1f31d616cefc7a0d39384f5bf86be4940|6e02d9265a77d765dc65a681f50eaf593d8750b29ad8cb6e771cf72b8fcbc2d9| 672473088|1758753509|386005560|3043697695|             |142342602928674.9375|
      916242|00000000000000000000f71ee6b0bed1f31d616cefc7a0d39384f5bf86be4940|000000000000000000016237ca73a64724cfffd4b0b95eba0c7af621732c56c5|13de12efab5fd60cb4f9a257d366d875eb4699794443efcd310999740c570c7b| 606134272|1758752787|386005560|3973552801|             |142342602928674.9375|
      916241|000000000000000000016237ca73a64724cfffd4b0b95eba0c7af621732c56c5|0000000000000000000106b1ee9ef223bbc89ce7fa050092cddcb7a6a7872f57|4d50a7fefead4adc272f37ed101465b3f88a040d4ba49c4d65dd869440ee4939| 660881408|1758752672|386005560|3050826818|             |142342602928674.9375|
      916240|0000000000000000000106b1ee9ef223bbc89ce7fa050092cddcb7a6a7872f57|00000000000000000000ba7adec0e5415b899412ff7051b9e72e5d241ef84dc7|2c615b933dfae1ff65109c6d0f4e2433c64f1f0913d3a3d0f9a3d832c20c46a7| 660054016|1758751634|386005560|3279995433|             |142342602928674.9375|
      916239|00000000000000000000ba7adec0e5415b899412ff7051b9e72e5d241ef84dc7|000000000000000000015f34ae552f6c20ab553c5d48867597c0bfb26b4e4cdb|a80438400d70297a305ce7e233d4d2f7e474db8e8144d00b037227e68e4955a4| 715464704|1758751477|386005560|1460514728|             |142342602928674.9375|
      916238|000000000000000000015f34ae552f6c20ab553c5d48867597c0bfb26b4e4cdb|000000000000000000010495e12605c8f4e5d4b9f56963ae2030b6154eb88aa2|7e6ee9839cbb847981ac8aae93a4efced11acaf8c6d4507a983e2bd920a1970f| 566321152|1758750495|386005560| 248509628|             |142342602928674.9375|
      916237|000000000000000000010495e12605c8f4e5d4b9f56963ae2030b6154eb88aa2|000000000000000000013ca1391995e30a61e9c4eff054670625c37dce527fcf|a618dfcc88d92196246ce45e34a100ba1712860737aee27cc2b39c3cc84d357e| 917561344|1758749575|386005560| 555641400|             |142342602928674.9375|
      916236|000000000000000000013ca1391995e30a61e9c4eff054670625c37dce527fcf|000000000000000000006408cf39cbc894fc94583cf7f39b7feee515a9537f31|332524a655b58e05370f787b88bcd9be7aa08a4923aa55d07cf71e274da8be36| 538673152|1758749551|386005560| 876395770|             |142342602928674.9375|
      916235|000000000000000000006408cf39cbc894fc94583cf7f39b7feee515a9537f31|00000000000000000000b69a3914bf8c10470f40eb298fb6a811583de50bd7a9|2c452813afba7942306d6528aee3800e01f42e7fa274e272152064d900f41363| 732446720|1758748745|386005560|3214582144|             |142342602928674.9375|
      916234|00000000000000000000b69a3914bf8c10470f40eb298fb6a811583de50bd7a9|0000000000000000000052c88f4b456d581ff66dc89dff0e66b2fa8734ad8307|3eb8ab846a7dbcbc54ccfff929702ebc7734d7abc87e7af96213cf56a4da99e5| 536928256|1758747829|386005560| 838601845|             |142342602928674.9375|
      916233|0000000000000000000052c88f4b456d581ff66dc89dff0e66b2fa8734ad8307|00000000000000000001a85275ee5318ff9d7b01d947c99fba0254845d6e444c|c14b134cafcda586f9dd92d110175897dcba72e876fbc93aaa83db18c47dce0d| 803962880|1758747814|386005560|3360284689|             |142342602928674.9375|
      916232|00000000000000000001a85275ee5318ff9d7b01d947c99fba0254845d6e444c|0000000000000000000012d94ba7a2e581134f9a999b340bbb3d90961bc4a9c5|408b5dd946e0eba9596af31d3bb9c2fe3a7f9d463074b65c7c4e532cef436117| 538247168|1758746842|386005560|1007754369|             |142342602928674.9375|
      916231|0000000000000000000012d94ba7a2e581134f9a999b340bbb3d90961bc4a9c5|000000000000000000019289f88bbcd824cbfcb23ed2773cc8c1a075f2df4011|5055c08463f26749e3a2dfb4b118445e2c886bb57ccb88abc2b48dcaee146644| 857579520|1758746398|386005560| 714914359|             |142342602928674.9375|
      916230|000000000000000000019289f88bbcd824cbfcb23ed2773cc8c1a075f2df4011|000000000000000000009e4c724ec5ba5e48f574c1fd8b9a6517e689332a55ec|b7720f78cc4ff03a69a2d20abfacaca44b322ec74ab2ec69d05f13f1a42315fc| 571179008|1758745740|386005560|1362444038|             |142342602928674.9375|
      916229|000000000000000000009e4c724ec5ba5e48f574c1fd8b9a6517e689332a55ec|0000000000000000000138e05f042c240f77525659f570c2d13cee4e06bb0339|d3071a486886d92584ad8e2112f07f242e8dfed7bc81bfabf5a071892cd88c0f| 548790272|1758745323|386005560|4106786343|             |142342602928674.9375|
      916228|0000000000000000000138e05f042c240f77525659f570c2d13cee4e06bb0339|000000000000000000017cfba9e92360aa3df620819d85e09a600a6e6ef0325d|4a4e74808830a3bac3bf62968be19a2d14e122d65007670ce4542b6bf6f4d7b5| 537042944|1758744900|386005560|3585737158|             |142342602928674.9375|
      916227|000000000000000000017cfba9e92360aa3df620819d85e09a600a6e6ef0325d|00000000000000000001218e9145783023d99a870cea135dfadb5b8f73a37608|56a2e72a5f73197e8154151dbf6e262cb026ed079689a33d6dec8c20633fb761| 639369216|1758744182|386005560|2490111330|             |142342602928674.9375|
      916226|00000000000000000001218e9145783023d99a870cea135dfadb5b8f73a37608|00000000000000000001394e3b269f0f160495e23b5d52abfaed0d8c3be7493c|20d7f8d559c467f79c47c898626ed55404f2b44fc73d2dc859a018a6c45d636d| 569335812|1758744009|386005560|2748585001|             |142342602928674.9375|
      916225|00000000000000000001394e3b269f0f160495e23b5d52abfaed0d8c3be7493c|00000000000000000001048526ea3f273312872d407badd89c872b6ff4b7044f|495dcc7a6122967deefc3d8df5ede96caaf92c0f98f29aa97d85c77c052c23a7| 706297856|1758742629|386005560|2012457732|             |142342602928674.9375|
      916224|00000000000000000001048526ea3f273312872d407badd89c872b6ff4b7044f|000000000000000000001eadb62e4e1e3e4f405ed213726ffcad51828d3f9b00|25239c5a9795b9b4a111a3e596e1a0443d798cfe724a138b6642ed1beecd83c0| 807804928|1758742037|386005560| 740969085|             |142342602928674.9375|
      916223|000000000000000000001eadb62e4e1e3e4f405ed213726ffcad51828d3f9b00|000000000000000000005fa61c880afd683cded3f99701b6aec5a4f7d87df16f|d171373a32057aefc99d57d7756f4dd124ab44ce65ad9ea091154016d8cdefde| 603979776|1758741615|386005560|2521826066|             |142342602928674.9375|
      916222|000000000000000000005fa61c880afd683cded3f99701b6aec5a4f7d87df16f|000000000000000000006d97c37a03e96bd032c335069f592770fa3922d668b9|b862a694b3b630ffaea682563fdde6880a149532b22f3efc7fd72bb61d3468ca| 537174016|1758741384|386005560|4209425576|             |142342602928674.9375|
      916221|000000000000000000006d97c37a03e96bd032c335069f592770fa3922d668b9|00000000000000000001401db31a175d3c7fdfe57139ace59183648021213937|ee7427a9147597590c18db8944a6e2e929a1e6401faa1cd330c4239f959ba156|1047298048|1758741228|386005560|2260687101|             |142342602928674.9375|
      916220|00000000000000000001401db31a175d3c7fdfe57139ace59183648021213937|000000000000000000004f80821b1dcaa84035a06e05694d10ad2b48b5e2df67|236c54e91fc00260ae9975433a2d88fdf825a980cb9e5153b9febc7dbed870f2| 630931456|1758740608|386005560| 902241314|             |142342602928674.9375|
      916219|000000000000000000004f80821b1dcaa84035a06e05694d10ad2b48b5e2df67|00000000000000000000e4f719f8078af1e5d5d9a455c2531fb9208f04c63660|20157be44cc2be6c6c9d8b3caf68c2588295dba81d6a2ab312268bec62836d5a| 646168576|1758740399|386005560|1994881462|             |142342602928674.9375|
      916218|00000000000000000000e4f719f8078af1e5d5d9a455c2531fb9208f04c63660|000000000000000000001ce9cb79ade3c385c3b5112b7757a11b76c8ff3b74a6|5a16e047424f57e39486887b7b7a5bab6b5b008d08e3361e439716b6f89c4a87| 829366272|1758739852|386005560|1536837132|             |142342602928674.9375|
      916217|000000000000000000001ce9cb79ade3c385c3b5112b7757a11b76c8ff3b74a6|00000000000000000001b42a14d870741d8d6fc49bcdcfba94f4554783af4ea6|491a24f98bc312a433950e861d15b3170a9648c2016646d38989b4e407f178fa| 549453824|1758739051|386005560|2097353361|             |142342602928674.9375|
      916216|00000000000000000001b42a14d870741d8d6fc49bcdcfba94f4554783af4ea6|00000000000000000001cc204517e5f910f86a89a435e1631cef4ab09a692796|7178c46068eb2a59c153db3ed3b7fd3773a077eaf8146688129ca792b7051798| 536928256|1758738819|386005560|3067903136|             |142342602928674.9375|
      916215|00000000000000000001cc204517e5f910f86a89a435e1631cef4ab09a692796|000000000000000000000e9c89390ee37b4f7fdc3a8fc880a8e83fda0041be3a|98dd1c0749160f487c751e158442b77941f9f7d3d47b544589068a1539e39823| 613498880|1758737762|386005560| 247098531|             |142342602928674.9375|
      916214|000000000000000000000e9c89390ee37b4f7fdc3a8fc880a8e83fda0041be3a|0000000000000000000084998cabc0ccc58544ffffc0696986e3326972162851|00bb02ab9da0b7877f71282704d1b8af3e65d7b3228cd46effbf4419a310130c| 537616384|1758737162|386005560|3805936214|             |142342602928674.9375|
      916213|0000000000000000000084998cabc0ccc58544ffffc0696986e3326972162851|00000000000000000001f65f51b772b66637b5266c3ec594c53abbfda4d2c092|6c0bf1395d742e9abefea6ac62472e63490e92ce99f64afa14aaeb6b58461c9f| 536944640|1758737142|386005560|1610474436|             |142342602928674.9375|
      916212|00000000000000000001f65f51b772b66637b5266c3ec594c53abbfda4d2c092|00000000000000000001063f8c39bbf034dab8a234f30c00f5f7d0975efc77bb|bcde5d42202c259a9b4bd2740c965786183f9f48baf8f19d1b30b22eb11128bb| 631275520|1758736902|386005560| 211582231|             |142342602928674.9375|
      916211|00000000000000000001063f8c39bbf034dab8a234f30c00f5f7d0975efc77bb|00000000000000000000eeff408fac8c7a8d843c770432d4b174a25c7ede34f8|9924fbd3f3af6ae2019dbeed0fa8b69fafa0698958217b1773c53a32897a80dc| 690683908|1758736605|386005560|3632239754|             |142342602928674.9375|
      916210|00000000000000000000eeff408fac8c7a8d843c770432d4b174a25c7ede34f8|0000000000000000000143437bb05d36d26a2a002dfa3a5d6a1770925748fded|7024f06ba7d2618f964410531984d45aa9503d1aacfb7db98692ea6e093c9448| 538124288|1758734017|386005560|1637254780|             |142342602928674.9375|
      916209|0000000000000000000143437bb05d36d26a2a002dfa3a5d6a1770925748fded|00000000000000000000fe09e375226da31e6de1ebe6ec7bb591cf5b1b7ed65f|8395398b2178ffec6d61dfdce4573a50e9c4ed1413e32fa24b812981aecc7d7b| 559489024|1758733065|386005560|1668095124|             |142342602928674.9375|
      916208|00000000000000000000fe09e375226da31e6de1ebe6ec7bb591cf5b1b7ed65f|0000000000000000000035fe6db111c0e0fc5c8c7b829cd7d41ac9383eb6d77d|7f64c24cf63cd14454a242df1c4e3e0e41492c374b6aa4a894926978de0d3038| 678658048|1758732728|386005560|3986747455|             |142342602928674.9375|
