block_number|block_hash                                                      |parent_hash                                                     |merkle_root                                                     |bits     |version   |timestamp |nonce     |confirmations|difficulty            |
------------+----------------------------------------------------------------+----------------------------------------------------------------+----------------------------------------------------------------+---------+----------+----------+----------+-------------+----------------------+
      946853|000000000000000000003e4502e0df82086167efe7861853c370e6cd10f31535|00000000000000000000673364389ac7b9c4a431c2c9fcb181f100e68cde139c|82d8fe7e80f463c5860b4d733b0202b6fbb6280c069cf8b10f1b8070e1c7e9a0|386012009| 766918656|1777282821|3551816038|             |135594876535256.578125|
      946852|00000000000000000000673364389ac7b9c4a431c2c9fcb181f100e68cde139c|000000000000000000012fcaf98047cc8db284fb5982984b56627f8e7a1afaec|fc579fbc81dd6fce8d6ac3806a6577dab43edb185818fc9d4dc99f928800b736|386012009| 536870912|1777282609|2180645909|             |135594876535256.578125|
      946851|000000000000000000012fcaf98047cc8db284fb5982984b56627f8e7a1afaec|000000000000000000001db32d174756f59f44e218155f1ee27956480a0d686f|f842e8b7e24788bf05c5ae023d1db34316d727c15629347136f2a9c75683cf31|386012009| 570425344|1777282099| 578836408|             |135594876535256.578125|
      946850|000000000000000000001db32d174756f59f44e218155f1ee27956480a0d686f|00000000000000000001e0fce70b5987cd026953f0436f9b61cf12d1d1c82df4|75ffa0b1b37d43c81e272794a0070778970d44585185e50591b471ff9ba0ff49|386012009| 706142208|1777281794|2571628590|             |135594876535256.578125|
      946849|00000000000000000001e0fce70b5987cd026953f0436f9b61cf12d1d1c82df4|00000000000000000000b14a33a540a65c5ad6dd5f52992be1de83ba806fbb7e|9649e11ed3b7e6f3108e167d3776c51eddbe2e427ac349e0230e9f7764fabcf1|386012009| 671088640|1777280466|2462922095|             |135594876535256.578125|
      946848|00000000000000000000b14a33a540a65c5ad6dd5f52992be1de83ba806fbb7e|000000000000000000003873289053ed04a8ff089661ae26ac69b886d6355811|2b0ac896ad54adfc6b0efc36a39ad962632ac9563262a74c0ee70f0d8a5dacc0|386012009| 608206848|1777280080|3798841279|             |135594876535256.578125|
      946847|000000000000000000003873289053ed04a8ff089661ae26ac69b886d6355811|00000000000000000001802815eb11e6c56e480962220d26baa491545c98b2af|9fe9342eed36a900ca4b8b8da9c90a814e6983820954772d1db3a09ce703665a|386012009| 638386176|1777280050|2491337770|             |135594876535256.578125|
      946846|00000000000000000001802815eb11e6c56e480962220d26baa491545c98b2af|000000000000000000006d22ea5f5bd44ac7bc596ed95d3bd77c96b37bf767b4|689ede9d05326b7e86b122f07ab11e4affd0250a232a74f296d85f551e0d36a3|386012009| 537067520|1777277880|1400985537|             |135594876535256.578125|
      946845|000000000000000000006d22ea5f5bd44ac7bc596ed95d3bd77c96b37bf767b4|00000000000000000001e35222ef2d5083bacf515f23f46b32302d274dd082ba|108e5ad4b49196669ab3ca6b6af9518fb04f889065538c59ce194d8bb75b47ad|386012009| 536993792|1777277251|3540669553|             |135594876535256.578125|
      946844|00000000000000000001e35222ef2d5083bacf515f23f46b32302d274dd082ba|00000000000000000000e3db5756a8fa45d975848d4f9d182d2518d04b0be6cd|2de2f622ab13240a1a450fffc8660235c5ac41eee8b4de1123de90c045ee9587|386012009| 674701312|1777275448|3864803719|             |135594876535256.578125|
      946843|00000000000000000000e3db5756a8fa45d975848d4f9d182d2518d04b0be6cd|000000000000000000003a9221861ec7411427dd24f979fb91a3b8f7265e1dbc|7f8051e25fe90600fa70c46305c022dedfb54e607276d5e8a7f5c82a22cd2a84|386012009| 593149952|1777273043|3933427337|             |135594876535256.578125|
      946842|000000000000000000003a9221861ec7411427dd24f979fb91a3b8f7265e1dbc|0000000000000000000037ab2824d69a76451313f3652ca3669e7204f83a0e4b|d8dbe44fbe009f5b2529040e65ff2873704a595aa7d45ab7ae1b7285832c80a2|386012009| 589144064|1777272532| 437469234|             |135594876535256.578125|
      946841|0000000000000000000037ab2824d69a76451313f3652ca3669e7204f83a0e4b|000000000000000000007532b21f06d6ea921a9dc3bd7bc73e10e7f9add3696b|1ce92a9d2fde6f601976c281b8fc93e1cc89cb8e5bf161c4eea09460a7d65d85|386012009| 831832064|1777272336|2484345436|             |135594876535256.578125|
      946840|000000000000000000007532b21f06d6ea921a9dc3bd7bc73e10e7f9add3696b|00000000000000000000779b54e9f31722e24d902e24675bd89e3b513f062d68|8f50f15b278431cba1d821a64e4dcb1360cd506ca3ac1ef7490eb052a3b50fc2|386012009| 676798464|1777272251| 529283888|             |135594876535256.578125|
      946839|00000000000000000000779b54e9f31722e24d902e24675bd89e3b513f062d68|00000000000000000000a4ce3cac32226255d44c6a187f2d8d49c47edb0aa024|742b424faffdf323758581eb847f0a86cd3e25387b292516217d5112c6e3b02b|386012009| 579493888|1777271815|3576904861|             |135594876535256.578125|
      946838|00000000000000000000a4ce3cac32226255d44c6a187f2d8d49c47edb0aa024|00000000000000000000092db78ec3471fe68caf2cde795ea1335906b63d0c13|233b473f7788815e46564d6f6af1744dded399f59dde5c7ea05bf098f12aa6fd|386012009| 905969664|1777271691| 866090414|             |135594876535256.578125|
      946837|00000000000000000000092db78ec3471fe68caf2cde795ea1335906b63d0c13|000000000000000000005b4d4d79e8e5cbabb1c2e2b067fcec599688d7b36a83|3dd8ef3bf45b369fbfab72154fb48d1d611639c544bdf80760404e0154d7e810|386012009| 582926336|1777270524| 457735774|             |135594876535256.578125|
      946836|000000000000000000005b4d4d79e8e5cbabb1c2e2b067fcec599688d7b36a83|00000000000000000001381dc0a909eefb9872d4e4a33166e961bb351d2e9ce0|e9b2df38cf249a34fd93c6c90dad287b599dce8f301e927e4c51d31c282ed6ab|386012009| 570744832|1777267703|1906007175|             |135594876535256.578125|
      946835|00000000000000000001381dc0a909eefb9872d4e4a33166e961bb351d2e9ce0|0000000000000000000093a552a65a5f2de7678715d1b94c78cd553d41ab8a0e|022253dd1ac6f32037b1dd1453b16b8dfee3d3345b31a93371986f147fcf5307|386012009|1073733632|1777267604| 138759390|             |135594876535256.578125|
      946834|0000000000000000000093a552a65a5f2de7678715d1b94c78cd553d41ab8a0e|0000000000000000000136383f909db924f6d61c81c51bdce1561bf29f933118|84a7d44360d799d19b9835fe71bc60ac2019a406411fe539c45707c6c6318b30|386012009| 537452544|1777267144|3038756813|             |135594876535256.578125|
      946833|0000000000000000000136383f909db924f6d61c81c51bdce1561bf29f933118|000000000000000000001d20fac34351d7253f62b6a492201c1592f255881dc9|6e76a5306b7ea6666e05ecdb81fc51b7d1db286569c294b384514fa85205aa66|386012009| 619241472|1777266782| 297692023|             |135594876535256.578125|
      946832|000000000000000000001d20fac34351d7253f62b6a492201c1592f255881dc9|00000000000000000000b8a805de407a3820c511f93bb0389cf21b715cce7f3c|2196fb6ef351f6f7c441daaef34f7fd17c509edf205fc97c5ce370b5b55e88d7|386012009| 537509888|1777266761|3458601440|             |135594876535256.578125|
      946831|00000000000000000000b8a805de407a3820c511f93bb0389cf21b715cce7f3c|000000000000000000015adf99ae360972bc8bb45b4365dbbf1e0f9f9b41dbf5|85a158b04ec7cd4048db215cc30f34b41148b359a310f9af2b285b2f9633c85e|386012009| 537214976|1777266216|3527972669|             |135594876535256.578125|
      946830|000000000000000000015adf99ae360972bc8bb45b4365dbbf1e0f9f9b41dbf5|0000000000000000000202a290c8d85bb64866289338d4b5e2935a798d6e7b42|5add0532dc969a98b28be7b5a167da6192d2573a67aa6ba85dfa997de54e07bd|386012009| 537174016|1777265232| 431949198|             |135594876535256.578125|
      946829|0000000000000000000202a290c8d85bb64866289338d4b5e2935a798d6e7b42|0000000000000000000150bccec1bd8413b106abed90bf2894020b400b0a7a8a|904eaee29b447c17c103597157c2a02e2931e5fd9a525aefd9c79163ae5515de|386012009| 917528576|1777265100|1526450933|             |135594876535256.578125|
      946828|0000000000000000000150bccec1bd8413b106abed90bf2894020b400b0a7a8a|0000000000000000000160ab525e67f0952bd6a87829ffe356bca889a9c234d1|2d93ab254f298508d20934c450a6c031b3f77fe192a13ad7f4924ea32128029c|386012009| 536993792|1777264303| 481395312|             |135594876535256.578125|
      946827|0000000000000000000160ab525e67f0952bd6a87829ffe356bca889a9c234d1|0000000000000000000211e254f356ee094ca2b9721c24b096fb29b6a56d0e85|469312babbc4d4d55d3be2b33b58fe8c0a8f2cd1d4ef90664393a6d75f1e6d72|386012009| 607567872|1777263318|2973565787|             |135594876535256.578125|
      946826|0000000000000000000211e254f356ee094ca2b9721c24b096fb29b6a56d0e85|00000000000000000000c614e451cb8a9e083398a0182dfc6b4a7e7896de1b89|9672152186c00f3df8eb53aa0226cd437d7d56411911a0bba2662937acba8a99|386012009|1073733632|1777262494|2811350765|             |135594876535256.578125|
      946825|00000000000000000000c614e451cb8a9e083398a0182dfc6b4a7e7896de1b89|00000000000000000000ec62eb9fbf0211c761b5ac1d109f9c7136e146e6a98f|5ee9d3bd2a9ed78311b62ed3647884298cc21ae14213d1b5e891f8e73d83cd07|386012009| 536961024|1777261440|1421507112|             |135594876535256.578125|
      946824|00000000000000000000ec62eb9fbf0211c761b5ac1d109f9c7136e146e6a98f|00000000000000000000fa74ea88c36b52841491270083da209c2c14b56e1a99|2142bb08af5f53e41784d11edc6c8c61dfc400c2c86f1bd1471e15ea648d269b|386012009| 586309632|1777261271|2102697384|             |135594876535256.578125|
